# t x y vx vy ax ay theta omega alpha
2.899999999999999800e-01 7.621249664036674476e-01 3.336615753259984940e-01 2.405980821520103952e-01 -1.974298148260211772e+00 -2.565751178200126326e+00 5.365684106369812412e+01 2.905539868250972102e+00 -3.961243364498972142e+01 1.473221286802655072e+02
2.999999999999999889e-01 7.645309472251875516e-01 3.139185938433963763e-01 2.149405703700091319e-01 -1.437729737623230530e+00 -3.740887687741500933e+00 7.829749035022994974e+01 2.509415531801074906e+00 -3.813921235818706634e+01 2.206555264650674530e+02
3.099999999999999978e-01 7.664237778110676302e-01 3.049069805735338812e-01 1.657803283971803765e-01 -4.083483412556127012e-01 -4.700546038165498430e+00 9.856259714612707512e+01 2.142755621087230722e+00 -3.519932311568837235e+01 2.933335911392109665e+02
3.200000000000000067e-01 7.678465537931311591e-01 3.057516270182841223e-01 1.209296496066991633e-01 5.335222052993110475e-01 -4.269589719930744209e+00 8.981151216485739042e+01 1.805429069487307414e+00 -3.227254053540284673e+01 2.920229249178955797e+02
3.300000000000000155e-01 7.688423708032016135e-01 3.155774246795201021e-01 8.038853399856549231e-02 1.387881902041534943e+00 -3.838633401695989988e+00 8.106042718358740728e+01 1.497304810379173734e+00 -2.935886461733046104e+01 2.907122586965813866e+02
3.400000000000000244e-01 7.694543244731024689e-01 3.335092650591148233e-01 4.415698157277936353e-02 2.154730748971059207e+00 -3.407677083460958212e+00 7.230934220231756626e+01 1.218251777140698211e+00 -2.645829536147121885e+01 2.894015924752663409e+02
3.500000000000000333e-01 7.697255104346572008e-01 3.586720396589412885e-01 1.223499232934632808e-02 2.834068746087886392e+00 -2.976720765225648879e+00 6.355825722104775366e+01 9.681389031497493747e-01 -2.357083276782513437e+01 2.880909262539500446e+02
3.599999999999999867e-01 7.696990243196893955e-01 3.901906399808725556e-01 -1.537743373173361405e-02 3.425895893392014280e+00 -2.545764446990617103e+00 5.480717223977804764e+01 7.468351217841955325e-01 -2.069647683639221825e+01 2.867802600326335210e+02
3.699999999999999956e-01 7.694179617600225285e-01 4.271899575267815719e-01 -3.868029661046601397e-02 3.930212190883447310e+00 -2.114808128780842900e+00 4.605608725849239704e+01 5.542093664219049920e-01 -1.783522756717246338e+01 2.854695938113158036e+02
3.800000000000000044e-01 7.689254183874800752e-01 4.687948837985415063e-01 -5.767359630735047205e-02 4.347017638561862185e+00 -2.847930530236464364e+00 5.124693131000361745e+01 3.901305704407462827e-01 -1.498708496016590175e+01 3.668854181523220745e+02
3.900000000000000133e-01 7.682644898338755191e-01 5.141303102980188111e-01 -9.563890721519530125e-02 4.955150817083519676e+00 -2.567983184135202990e+00 6.678457660754335734e+01 2.544676672185869348e-01 -1.049751920412602146e+01 2.807662458112220634e+02
4.000000000000000222e-01 7.670126402431761692e-01 5.678979001402119087e-01 -1.090332599900545318e-01 5.682709170712729296e+00 9.168678534937635405e-01 2.940869211503635938e+01 1.801801863582258578e-01 -9.371760043941460339e+00 -4.626848774469305425e+01
4.100000000000000311e-01 7.660838246340744284e-01 6.277844937122734059e-01 -7.730155014532003044e-02 5.543324659384246900e+00 2.769865975655871893e+00 -3.800016148178428921e+01 6.703246633975773472e-02 -1.142288895901988255e+01 9.394214716510491314e+01
4.199999999999999845e-01 7.654666092402697686e-01 6.787643933278968422e-01 -5.363594047693709399e-02 4.922705941077043512e+00 2.057461447090569440e+00 -5.527011513437125245e+01 -4.827759282217179010e-02 -7.492917100639362005e+00 7.101582458270659117e+02
4.299999999999999933e-01 7.650111058245356865e-01 7.262386125338142762e-01 -3.615232120350864164e-02 4.437922356696821780e+00 8.390138694064352975e-01 -6.238487959453560450e+01 -8.282587567302951426e-02 2.780275957521436858e+00 1.024235272473399846e+03
4.400000000000000022e-01 7.647435628161995957e-01 7.675228404618332778e-01 -3.685566308880838804e-02 3.675008349186331458e+00 -8.014955639126797315e-01 -3.019315633385977193e+01 7.327926328256947897e-03 1.299178834882863143e+01 3.315767425242564173e+02
4.500000000000000111e-01 7.642739925627595188e-01 7.997387795175409098e-01 -5.218223248176223628e-02 3.834059230019626341e+00 -9.519132806312669004e-01 2.918390018514323003e+01 1.770098913035431099e-01 9.411810808006565665e+00 -5.452686548130247957e+02
4.600000000000000200e-01 7.636999181665643510e-01 8.442040250622258046e-01 -5.589392870143372605e-02 4.258686352889196058e+00 7.916078312297791797e-03 -8.576802187868048932e-01 1.955641424883882706e-01 2.086415252568135426e+00 -3.406558919872913975e+02
4.700000000000000289e-01 7.631561139887308443e-01 8.849125065753248309e-01 -5.202391091551628044e-02 3.816905625643890243e+00 4.713013735418991601e-01 -5.078850513322851867e+01 2.187381963549058228e-01 2.598692968260738034e+00 5.625751632179085249e+01
4.799999999999999822e-01 7.626594399482540254e-01 9.205421375751036139e-01 -4.646790123059574285e-02 3.242916250224625596e+00 6.399005634172283408e-01 -6.400936995064942892e+01 2.475380018536030291e-01 3.211565579003952564e+00 6.631700582684611334e+01
4.899999999999999911e-01 7.622267559641189294e-01 9.497708315798173428e-01 -3.922589964717171362e-02 2.536718226630901629e+00 8.084997532672999476e-01 -7.723023476809531473e+01 2.829695079349848763e-01 3.925033084797660443e+00 7.637649533189447482e+01
5.000000000000000000e-01 7.618749219553105911e-01 9.712765021077216510e-01 -3.029790616524974389e-02 1.698311554862719230e+00 9.770989431173715545e-01 -9.045109958554147056e+01 3.260386635495562402e-01 4.739095485641842131e+00 8.643598483694265155e+01
